id,tweet,sarcastic,rephrase,dialect
1872,"البنك المركزى التابع للانقلاب يعلن أن ديون مصر ارتفع لمستوى بشع غير مسبوق وتجاوزت 1,8 تريليون جنيه كارثة لا يشير لها اعلام العار",0,,msa
1873,تحية لقضاة مصر الأجلاء لدفاعهم عن حقوق الشعب المصري وحرياته وتمسكهم بمبدأ استقلال القضاء,0,,msa
1874,مع زيادة تدخلات ايران في شئون المنطقة هل نسعى لإيجاد علاقة أمنية مع الناتو ؟     اجمل بلد زرته بحياتك حدث في ٢٠١٦,0,,msa
1875, بيتي انا بيتك وما الي حدا  فيروز ,0,,levant
1876,اختيار الدكتور عمرو خالد، ضمن أكثر 10 شخصيات تأثيرًا في العمل الاجتماعي في مصر لعام 2012,0,,msa
1877,اقل هديه يقدمها جماهير المايسترو روجير فيدرر له هو تصويتهم له ليضل الاعب الأكثر شعبية للمره 14 على التوالي رغم ابتعادة معظم فترات هذا الموسم,0,,msa
1878,برومو حلقة (بائع الليمون) - ثاني حلقات الأنيميشن من برنامج بسمة أمل انتظروا الحلقة الساعة 7 مساء الخميس,0,,msa
1879,اشارككم قلقكم من حالة الاستقطاب السائدة في الحياة السياسية الآن وقد طالبت بعودة التوافق الوطني بين كل التيارات,0,,msa
1880,ننعي الي الانسانية رمزا متألقا للنضال في سبيل الحرية والنهضة والكرامة الانسانية القائدوالمجاهدوالمفكر العربي احمد بن بيللا زعيم ثورة الجزائر,0,,msa
1881,مرفق بالمحتوى لينك للفيديو,0,,msa
1882,بلاغ للنائب العام مطلوب صاحب هذه الصوره الذى هدد نجيب ساويرس بالقتل والاعدام,0,,msa
1883, 👈🏻 .. ﻓﻲ ﺳﺠﻮﻥ ﺃﻓﻐﺎﻧﺴﺘﺎﻥ ﻭﻓﻲ ( ﺟﻮﺍﻧﺘﺎﻧﺎﻣﻮ ) ﺑﻛﻮﺑﺎ .ﻭﻟﻢ ﻧﺠﺮﻡ ﺍﻟﻤﺴﻴﺤﻴﺔ ﻭﻻ ﺍﻟﻴﻬﻮﺩ ﺑﻤﺎ ﻧﺸﺮﺗﻪ ﺻﺤﻴﻔﺔ ( ﺩﻳﻠﻲ ﺳﺘﺎﺭ ) ﻣﻦ أن ﺇﺳﺮﺍﺋﻴﻞ ..👇🏻 ,0,,msa
1884,أنا سعيد جداً بما أنجزه شباب أكاديمية الداعية المعاصر في سيناء في يومهم الأول، فقد التف حولهم أهل سيناء الذين,0,,msa
1885,إلى زملائي المحامين الراغبين في الانضمام لمبادرة(سامعين صوتك)التى تهدف لدمج متحدي الاعاقه في المجتمع يسعدنا اشتراككم,0,,msa
1886, مندوبة  الولايات المتحدة في  الأمم المتحدة: نرحب بأي هدنة في  سوريا لكن دون أن تكون مقدمة للعودة للقصف الوحشي ,0,,msa
1887,أعطي رسول الله  المرأة مكانة عالية وجعل لها دور كبير في المجتمع شاهد لتعرف   يوم المرأة العا…,0,,msa
1888,اعتراف من نقابة الصحفيين الفاسدة: هناك مناخ معادى لحرية الصحافة بعد الانقلاب أكثر من إى وقت سابق، الصحافة اتهانت,0,,msa
1889,  لافروف:  واشنطن سحبت اقتراحاتها بشأن تسوية الأزمة في  حلب ,0,,msa
1890,مع اشراقة كل شمس نبدأ عملنا بروح نشيطة وهمة عالية ويد واحدة ونية متجددة أحلى صباح لأجمل متطوعين فى اعظم حملة,0,,msa
1891, اذا ابدعو فيه مثل هاري بوتر بتصير سلسله عظيمه ,0,,msa
1892,ﻭﻓﺄﻯ ﻣﻜﺎﻥ ﻭ ﻓﺄﻯ ﺯﻣﺎﻥ ﺑﻘﻮﻟﻬﺎ ﻟﻴﻚ ﻭ ﺑﺎﻋﻠﻰ ﺻﻮﺕ ﻏﻴﺮﻙ ﻣﻠﻴﺶ ﻋﺸﺎﻥ ﺍﻋﻴﺶ  ﺍﻻﻫﻠﻰ فى قلبى ﻟﺤﺪ ما  أموووووت,0,,egypt
1893,من تونس  سوريا فى القلب,0,,msa
1894, عزام الأحمد: ملف المصالحة بين   فتح  و  حماس  في يد  قطر ,0,,msa
1895,  لم أهاجمه بل أحترمه ولو كان له أخطاء فهو بالتأكيد شخصية تحترم,0,,msa
1896, 🔴  مرسوم العقيدة الخارجية الروسية:  روسيا تهتم بعلاقات منفعة متبادلة مع  الولايات المتحدة ,0,,msa
1897,افتخر بلغتي 😍😍  اليوم العالمي للغة العربية,0,,msa
1898,أفضل لاعب يالعالم يرد على المشككين بهدف آخر من ماركة  رونالدو و يعلن نفسه من الشهر الرابع أقوى المرشحين للكرة الذهبية,0,,msa
1899,باقي بس ثلاث ايام عن اول عرض لفلم فانتاستيك بيتس ان وير تو فايند ذيم * قيل قصة هاري بوتر بـ 19 سنة 😭 اخخخيراً.,0,,msa
1900,أحمد الله العلى القدير على ما شاء وقدر، واشكره سبحانه شكراً جزيلاً على تقديره نجاتى,0,,msa
1901,  ماذا لو المدارس مختلطهكل ممنوع مرغوب اذا من البدايه اتعودنا على هالشي ماكان تصير هالمشاكل كلها ,0,,gulf
1902,تواجدي خارج المملكة منعني مشاركتهم في تجهيز التيفو واعرف حجم التعب واﻻرهاق اللي يعانوه حالياً ويارب ﻻتضيع لهم تعب  الالتراس …,0,,egypt
1903,الجيش السوري يدمر 3 جرافات ويقتل من فيها جنوب مقبرة حوش نصري في  الغوطة الشرقية,0,,msa
1904,ألرب واجد,0,,egypt
1905,لماذا استسلم  الإخوان لفكرة التحول من مقموعين إلى قامعين,0,,msa
1906,  كل يوم قهااجاباتاساڤوعاش يا  عمرو اديبارجع لي ابو قديمو ,0,,egypt
1907, يا بركان الغضب يا موحد العرب .. !!😔 القدس ❤❤ ,0,,levant
1908,ثمة موجة سياسية تعم العالم الغربي تحديدا امريكا وأوربا..لايمكن عزل تاثير توجه امريكا على اوربا نحو اليمين المتطرف...دواعيه الشعور في تاكيد/١,0,,msa
1909,تحدثنا عن هذا الكتاب الجميل عن خروج المصريين على السلاطين في وقت كان الحديث فيه عن خنوع المصريين موضةهذا الجزء الأول,0,,msa
1910,ما مشروعية الثورة وما الموقف من أولي الأمر بين الطاعة لهم والخروج عليهم وما أساس الخلاف بين فقهاء الثورة وفقهاء السلطة؟,0,,msa
1911,  الجيش السوري يحرر بشكل كامل  السكن الشبابي المحاذي للبحوث العلمية في الأحياء الشرقية ,0,,msa
1912,الرجوع للحق فضيلة حمد الله على سلامة أحمد السيد النجار,0,,msa
1913,الذين يدعون ان هذه الثورة العظيمة هى انقلاب عسكرى يجهلون او يكذبون وفى الحالتين يهينون الشعب المصرى ويستهينون بتضحياته وبدم شهدائهم الأبرار,0,,egypt
1914,واحد من ابطال هارى بوتر جاى فى فلاش,0,,msa
1915,  ولغايه ماتبنوا الكنايس جوامعنا وبيوتنا وقلوبنا وعيوننا مفتوحه ليكوا تنوروها وتنورونا,0,,msa
1916, إجتماع ثلاثي ف  موسكو ، بالنيابه عن أهل السنه  تركيا هي ممثلنا . ,0,,msa
1917,الى  الاخوان أردتموها معركة دون وجه حق فدبروا لكم مذبحة دون وجه حق اقرأ المزيد هنا:,0,,msa
1918,هل توافق علي تبكير الانتخابات الرئاسية و الاسراع بنقل السلطة من المجلس العسكري ؟؟ للاشتراك فى الاستفتاء يرجي,0,,msa
1919, لن تأخذ سوريا قصراً ، لن يرجع للعرش يزيد ، فالشام حسمناها نصراً ، لو يسقط مليون شهيد ..يا جنود المنتظر ... انتم حزب الله ,0,,levant
1920, ستولتنبرغ يعلن طلب عدد من الضباط الاتراك اللجوء في بلدان في  الناتو الامم المتحدة  تركيا  اللاجئون  اللواء ,0,,msa
1921, خلق جميل غض البصر,0,,msa
1922, الضباط الفرنسيين الذين يتحدث الجعفري عن تواجدهم في حلب المحاصرة مثل تواجد مصنع أحرار الشام للاسلحه الكيماوي بصفحة فيسبوك مواليه ونقله عنها ,0,,msa
1923, فرنساالقضاء الفرنسي يدين مديرة صندوق النقد الدولي كريستين لاغارد بتهمة  الإهمال  ,0,,msa
1924, تنظيم  داعش يعدم فتى  في مدينة الطبقة في ريف الرقة الغربي بتهمة التعامل مع ’’التحالف الدولي’’  لبنان الآن ,0,,msa
1925,ادعو المصريين الى مشاهدة توثيق مذبحة الاتحادية التى جمعها الاستاذ عمر طاهر سحل وضرب رصاص وتعذيب البنات لن تفلتوا من الحساب أيها الاخوان,0,,msa
1926,  مارب  عاجلبطاريات باتريوت تعترض صاروخ بالستي في سماء مأرب أطلقته مليشيات اليهودي المخلوع،عيسى الشفلوت  اليمن ,0,,egypt
1927,2) بعضهم يتحدث عن ديمقراطية وتعددية، بينما آخرون يقاضون مبدعين انضمت لقائمتهم مؤخرا رسامة الكاريكتير دعاء العدل,0,,msa
1928,الفلول والثوار يقولون الان نفس الكلام لكن يجب الا يختلط الامرالثوار ضد الاخوان من اجل الثورة والفلول ضد الاخوان من اجل السلطة لا يلتقيان,0,,egypt
1929,مد العمل بقانون الطوارىء: استمرار للقمع وانتهاك لحقوق الإنسان والحريات الأساسية يوم حزين التغيير حتمي,0,,msa
1930, الحرية للإخوان  انصاف الاخوان,0,,msa
1931,الأسئلة التي هربنا منها أيام المجلس العسكري لا زالت تطاردنا وستظل إلى أن نواجهها ونجيب عليها,0,,msa
1932,الوفاء الشهامة العفو قصة من روائع الحضارة الإسلامية - استمع لحلقة جديدة من حلقات بسمة أمل,0,,msa
1933, تغريدة قديمه:تم ضرب الجيش الليبي من قبل الناتوقبل اصدار قرار من مجلس الأمنس/ من الذي تآمر مع برنارد شو لتدمير ليبيا وجعلها وكر لداعش؟ ,0,,msa
1934, حلبالنصر على  الإرهاب هو نصر للإنسانية جمعاء وليس في  حلب الشرقية فقطو  الجيش السوري سطر بطولات أكبر من  صلاح الدين سورية روسيا إيران ,0,,egypt
1935, مراسل الميادين :جثث المختطفين  خالية الاحشاء والسبب هو الاتجار بالاعضاء البشرية قبل قتلهم على يد جبهة النصرة والزنكي   حلب تباد بصمت عربي ,0,,msa
1936, لأول مرة في حياتي بشعر بعدم الرغبة بمشاهدة هاري بوتر لآخرو ,0,,msa
1937,هل الفرح حرام ؟ كان الخطأ الأول لزملاءنا الإنقاذيين وإعلامهم ، هو امتناعهم عن المساهمة فى إنقاذ وتحرير جنودنا من,0,,msa
1938,الاعتداء على التظاهرات السلمية مسؤلية من بيده السلطة ،و لا يمكن ان يقال انه  خطأ غير مقصود  التعامل الآمنى هو استمرار  لمصر القديمة   !,0,,msa
1939, صباح الخير اليمين المتطرف اتهزم في النمسا عقبال باقي اوروبا ,0,,msa
1940,نصر محروس,0,,msa
1941, نوال الزغبي شو بتعملي ؟؟ ,0,,levant
1942,نهنئ الشعب المصري والأمة العربية بشهر رمضان وليكن هذا الشهر فرصة للمصالحة ولتوحيد الصف وحقن الدماء,0,,msa
1943, طاح القدر يا  ليبيا عارفين ,0,,magreb
1944,2 كما أدنت عنف الإخوان أمام الاتحادية وأمام مقرهم العام قبل أيام، أدين أيضا العنف ضدهم وضد منشآتهم بالأمس، لا يصح الاحتجاج على العنف بالعنف,0,,msa
1945,الغاء المكمل والتغييرات في قيادات الجيش قرارات تستجيب لقاعدة مستقرة في الدولة المدنية وهي خضوع المؤسسة العسكرية لإشراف المدنيين المنتخبين,0,,msa
1946,اخخخ يا فيدرر ❤️❤️❤️ .... عطوني افاتارات له,0,,msa
1947,عايز اقولك بحبك من زمان جدا  محمد محسن,0,,egypt
1948,  عاجل |  أردوغان أمام الجمعية البرلمانية لـ  الناتو: نريد منكم أن تضعوا حدا لتحركات أعضاء المنظمات الإرهابية في بلادكم ولأنشطتهم الدعائية ,0,,msa
1949,أكتر شيء يهمني معرفته هل ده مشروع إستقلال حقيقي ولا كارت مفاوضات في نفس التوكيل؟,0,,egypt
1950,الاحتلال يعتقل 4 شبان عقب اقتحام بلدة الرام شمال  القدس المحتلة.,0,,msa
1951,  روسيا:وزراء خارجية روسيا وإيران وتركيا يجرون محادثات غدا في موسكو.. بشأن  حلب ,0,,msa
1952,استمرار مأساة غرق شبابنا في محاولات يائسة سعيا وراء  لقمة العيش ما هي أسبقياتنا وأين نحن من أهداف الثورة : عيش،حرية،كرامة إنسانية ؟,0,,msa
1953, القادة الاوروبيون و  اوباما يدعون الى مواصلة التعاون في  الناتو  لبنان الآن ,0,,msa
1954, لان الجيش السوري يبيد  حلب، الاهالي في الاحياء الشرقية يطالبون بنقلهم الى مناطق تخضع لسيطرة الجيش العربي السوري بحبو يتعذبوا  حلب تحررت ,0,,levant
1955,جمال  خيال  حقيقه  جميل  درر  حكم  أعجبني  حكمه  بقلمي  شوق  بوح  شعر  قصيد  رتويت خمس الاف متابع بـ 200 ريال 132,0,,msa
1956, الحب هو اهتمام، تنازل، كلام، احترام، فعل، دعاء، تغاضي، عتاب، تسامح !,0,,msa
1957, رامى عياش ( قلبي وجعني ) 😔 ,0,,egypt
1958,الشيخ حافظ سلامة يؤكد فشل مؤامرة أمريكا لإسقاط الجيش المصري  السادة المحترمون,0,,msa
1959,حدا فات ع غوغل و سأل قديش الشيعة بالعالم؟!قديش الشيعة بالهلال الشيعيقديش الشيعة بلبنانولى ولى ولى مين قارينا 😂😂😂😂😂😂😂,0,,levant
1960, أسال عن حالي ايه اللي جرالي..ولا لحظه ابدا انا هنساكياما ليالي سهرت الليالي ..شاغلني انت وهمي رضاك ....رامي عياش 😍😘  افصل واسمع ,0,,egypt
1961, على  محكمة الجنايات الدولية المطالبة بجثة البشير من الحكومة السودانية تنفيذا للاحكام القضائية العادلة. الأمم المتحدة مجلس الأمن ,0,,msa
1962,عاجل سوريا نحو 5 ألاف ما بين مسلحين وعائلات تمّ اخراجهم من الاحياء الشرقية لمدينة  حلب ادلب,0,,msa
1963, مكتوُبة ليك إنّي أنا اللي تعيش لهامكتوُبة على إسمك حيااتي كُلهاأول ما قلت بحبّ كانت ليا انا ()مين تستاهلهاا غيري او تتقال لها !💕🎹 إليسا💕 ,0,,egypt
1964, اكتب رساله لشخص دون ذكر اسمه الحياة ي صاحبي أجمل من بشاعة الحزن لا تحزن ابتسم وتفائل دائما ، وكن على يقين لن يصيبنا إلا …,0,,msa
1965,14/ ...السلام تعقد اجتماع تشاوري على المستوى الوزاري، بمقر الجامعة العربية...,0,,msa
1966, لما قلبنا جمد عليهم معرفوش ان السبب فيهم 👌 مشتاق اسمع جمله عادل امام كلمه لحبيب قلبك حب أعمى ولسه يامصر هشوف فيكي علي هوي مصر ,0,,egypt
1967,٣. وفي المقابل يحرض الجماعات على الارتباط ب  تركيا  الناتو التي قادت يوما ما أشرس حربٍ صليبية. الشام,0,,msa
1968, بقالي سنين مكسله اكتب في جوجل ايه هو مشروع ليلي ؟مش عارفه ليه مش عايزه اعرف ,0,,egypt
1969,كل التضامن مع ثورة شعبنا العربى فى اليمن من أجل الحرية والديمقراطية والعدالة والوحدة ثورة الشعب العربى ممتدة من المحيط إلى الخليج حتى النصر,0,,msa
1970,  سوريا  ريف اللاذقية اشتباكات بين  الجيش السوري و الأرهابيين عند محور  كباني وسط قصف مدفعي وصاروخي يستهدف نقاط و مواقع الأرهابيين. ,0,,msa
1971,٩-تقرب من جبهة النصرة ولم ينتقد بغييها بحق فصائل الجيش الحر، وترأس اللجنة المشتركة بين الأحرار والنصرة,0,,msa
1972,ولا أشعر بأدنى تعاطف مع مبارك ونظامه الذي أوصل هذا الشعب إلى ما صار عليه، يستوي في ذلك الإسلاميون وغير الإسلاميين، تد,0,,msa
1973,2 لا مواجهة ناجحة للتطرف ولا إنقاذ للتعايش إلا بتفعيل سيادة القانون وحماية حقوق الأقلية قبل الأغلبية والمحاسبة الناجزة للمتورطين في العنف,0,,msa
1974,ﻷنك انت كل حياتي مهما بالدنيا يصير ♡  كلمة حلوة ,0,,egypt
1975,  أخبار الآن | ا ف ب:  مصرع سبعة اشخاص في  حريق غابات في جنوب  الولايات المتحدة ,0,,msa
1976, اول ما شغلوا بيونسيه كرايزي ان لوف فطست ضحك 😭😂 ,0,,egypt
1977, وعلى قولة  فيروز ..وينن وين صواتن وين وجوهن وينن؟صار في وادي بيني وبينن ..بيوجعني قلبي من هالمنظر..حىتى لو عالتلفزيون ..بحس بالغربة  دمشق ,0,,levant
1978,  حلب تبادكل ما تفعله ايران للوصول للسعوديه تملك خلايا في الشرقية و القطيف كبيره جداً دمرت سوريا و العراق و الآن اليمن حاصرونا بكل اتجاهه ,0,,msa
1979,قاومت وكنت الشوكة في حلق التنين أرهبت الدبابات العزل بالسكين !  جنين,0,,msa
1980,الدولة تلتزم بتيسير سبل التراحم والتضامن والتكافل حسن لو خاصم ليلي الدولة لازم تصالحهم علي بعض,0,,msa
1981,كنت واثق ان احداث  رابعة والدماء التي سالت سوف تكون لها اثارلكني لم اتخيل ابدا انها تصبح وقود يلهب مشاعر الملايين وتحي…,0,,msa
1982,  عيد ميلاد سعيد يا سيسي اعترف اني السعوديات ثالث اجمل نساء الكون ثايرون لن نستسلم هل تتزوج وحده تكشف وجههاالنهارده الخميساحمد الشيخ ,0,,msa
1983,البابا شنودة الثالث كان وطنيا مخلصا ومصريا عظيما رحمه الله,0,,msa
1984,الإبتسامه لم تفارقها حتى بعد موتها اللهم تقبلها من الشهداء أسماء صقر,0,,msa
1985,أحياناً يكون الألم النفسي أصعب و أشد ألماً من الألم الجسدي ٣٤  مذبحة بورسعيد  المجد للشهداء  إفتكروهم,0,,egypt
1986,رضاك يارب  كلمتين وبس,0,,egypt
1987,شكرا إن حضرتك دورت على المعلومة واقتنعتأنا ليس لي مصلحة وأكتب مايرضي ضميري والعلم عند الله,0,,egypt
1988,  عاجل اليمنتصعيد وهجوم عنيف وغير مسبوق للجيش واللجان في مختلف جبهات   تعز ,0,,msa
1989, والله خلاااااص تعبنا راه 💔 بنغازي ,0,,egypt
1990,يقدّم هذا القرار الذي رفعته فرنسا استجابة أولية لحالة الطوارئ الإنسانية في حلب ومن شأنه أن يتيح إجلاء المدنيين تحت مراقبة الأمم  المتحدة 2/3,0,,msa
1991,لم ولن أتخذ أي موقف يؤيد قتل أبرياء تحت أي ظرف من الظروف ما أقوله عن الإخوان لا يعني تأييدي لقتل أي بريء مهما كان,0,,msa
1992, و فجآه تقفل كل شي عن بوكيمون قوو😂 ,0,,egypt
1993,  ماذا لو المدارس مختلطهارتفاع التحصيل العلمي لصفوف الإبتدائية ,0,,msa
1994,حيث إن أصل استخدام الكلمة كان للمجند حديثا في الجيش العثمانلي، ودا كان غالبا فلاح، ودي كانت بتعتبر شتيمة  أصل كلمة مصرية  لغةمصري,0,,egypt
1995,ياسر أبو عمّار في  سياسة في دين : غيّرت موقفي من حزب  النور بسبب مواقفه المخزية مع الرّئيس  محمد مرسي ووقوفه مع  ,0,,msa
1996, قدوم هيلاري كلنتون يعني استحالة تسليم غولن إلى تركيا، وذلك لأنّ جزءا  كبيرا من الأموال التي تملكها الجماعة يذهب لتمويل السياسيين الأمريكيين. ,0,,msa
1997,صباح حنون وهادى بصوت  ماهر زين على كل فولورى الحلوين :)  سمكة بتصبح ☺,0,,msa
1998,النفاق أصبح أحد أركان المجتمع !  اه والله,0,,msa
1999, اخر  ساعة  يوم الجمعة اللهم اني اسألك عيش السعداء وموت الشهداء والفردوس الاعلى بجناتك جنات عدن اللهم امين,0,,msa
2000,الديمقراطية هي السبيل الوحيد للانتقال من النظام الحالي الذي يقمع الحريات الي نظام يحمي حرية الشعب ويصون كرامته قد حان وقت التغيير,0,,msa
2001,28 اجدع الجدعان  جيكا  جيكا ياولد الحريه بتتولد  محمد محمود 2,0,,egypt
2002, دعوات  لإضراب عام  في جميع مدن  ليبيا، بسبب ارتفاع أسعار المواد الغذائية وانعدام السيولة وانهيار الدينار الليبي. ,0,,msa
2003,  عمرو اديباللواء كامل الوزير ...الجيش يتكفل بمحطه قطار اسوانالريس يشاهد البرنامج 👍 👍 👍 💐 ,0,,msa
2004,عودة لسجون مبارك,0,,msa
2005, لولا هاري بوتر عليا بس❤️😳 ,0,,egypt
2006,كانوا رجال  مرسى رئيسى  كانوا رجال  الشعب يرد تحية الرئيس  أنا حازم  سنحيا كراما,0,,msa
2007, قال رسول الله ﷺ(أيما عبد أبق، فقد برئت منه الذمة) رياض الصالحين  ريال مدريد ,0,,msa
2008,  لانني في الوسط فساقف في مواجهه اي سعي لاقصاء اي تيار شريطه الا يكون ذلك التيار نفسه ا,0,,msa
2009,جنايات المنيا : تصدر حكماً بإعدام 37 إرهابيا اخوانياً وبحبك 492 لمده 25 عاما في قضيه اعمال العنف بمطاي بعد عزل الرئيس الخائن  محمد مرسي,0,,msa
2010,  عاجل | قوات الاحتلال تطلق النار باتجاه صهيوني عند حاجز قلنديا ظناً منهم أنه فلسطيني. فلسطين ,0,,msa
2011, ريال مدريد فاز و تصدر تشلسي فاز وتصدر ووسع الفارق روما انتصر .. باقي الجمعه ويارب ماخاب من قال يارب هلالية زرقاء 💙. ,0,,gulf
2012,كيزاد أفضل منصة لتأسيس الأعمال في المنطقة   الإمارات  بالعربي,0,,msa
2013,دعبد المنعم ابو الفتوح يتحدث عن ذكرياته لواقعة المشادة الكلامية بينه وبين الرئيس السادات,0,,msa
2014,(إذ قالت امرأت عمران رب إني نذرت لك ما في بطني محررا فتقبل مني إنك أنت السميع العليم) [آل عمران:35]  ريال مدريد,0,,msa
2015, تحية لصوت القلم في ذكرى استشهاده  جبران تويني ,0,,msa
2016,كلام أم الشهيد محمد مصطفى بيجيب من الآخر: مرسي كذب في وعوده,0,,egypt
2017, اخخ ودي لو اروح للمعرض ، كل الشعار منزلين ديوان 😭😭😭😭😭😭😭💔💔💔💔  معرض الكويت الدولي للكتاب ,0,,gulf
2018, أوباما: ميانمار لن تنجح إذا استمر قمع الاقلية المسلمة  العرب  مسلمي الروهينجا,0,,msa
2019, تطمن آنت المقصود بكلامي ، آنت الوحيد اللي قلبي يحبه..💕💙 ,0,,msa
2020,السنين الحلوه بتعدى قوام و آنتآ آسمك فى آلتآريخ بالنور مكتوب  أبو تريكة,0,,egypt
2021, وهاب عبر تويتر: وجود سليم جريصاتي في العدل مع دعم الرئيس عون قد يسمح بتنظيف القضاء وهاب  لبنان  اللواء ,0,,msa
2022, قالولي العيد بعيوني على درب بعيد دلوني غمضت عيوني تشوف العيد لا شفت العيد ولا درب بعيد 😥😢 اليسا ,0,,levant
2023, نبكي الطفلة فتحية التي باتت بلا بصر أم ضحايا تفجير بنغازي أم اغتيال الشيخ نادر . بنغازي طرابلس قنفوذة ليبيا وطني يؤلمني ,0,,levant
2024,قد ﻳﺒﻄﺊ ﺍﻟﻨﺼﺮ ﻷ‌ﻥ ﺍﻟﺒﻴﺌﺔ ﻻ‌ ﺗﺼﻠﺢ ﺑﻌﺪ لإ‌ﺳﺘﻘﺒﺎﻝ ﺍﻟﺤﻖ ﻭﺍﻟﺨﻴﺮ ﻭﺍﻟﻌﺪﻝ ﺍﻟﺬﻱ ﺗﻤﺜﻠﻪ ﺍﻷ‌ﻣﺔ ﺍﻟﻤﺆﻣﻨﺔ سيد قطب,0,,msa
2025,اللى حصل مع محمود شعبان فى التحرير أفترا عليه لأنه ضعيف,0,,egypt
2026,كورسيرا أكبر موقع عالمي يحتوى على مناهج جامعات عالمية هي الأفضل في تصنيف 2013! نتعاون معهم لتعريب المناهج، شاركونا! …,0,,msa
2027,الرئيس مرسي المسئول الاول عن حقوق المصريين وكرامتهم اما ان يوقف الرئيس الخطف والضرب والتعذيب والمحاكمات العسكرية للمدنيين واما ان يرحل,0,,msa
2028,منافسة كبيرة بين  نوال الزغبي و  أمل حجازي  ومشاكل وغيرة متبادلة من هي نجمة شركة  لايف ستايلز استوديوز توقعات2017,0,,msa
2029,  ياولاه الامر نحتاج الهييهيقول الله :{ والله يريد أن يتوب عليكمويريد الذين يتبعون الشهواتأن تميلوا ميلًا عظيما}. ماذا لو المدارس مختلطه ,0,,msa
2030,لو أنت من الناس اللي لم تؤيد أو تسكت عن ظلم أو فشل سواء في فترات  مبارك أو  المجلس العسكري و  مرسي و  السيسي، قول,0,,msa
2031,بيت لحم- الاحتلال يطلق سراح الاسير عبد الهادي طقاطقة من بلدة  بيت فجار بعد ان امضى مدة محكوميته البالغة ١٠ سنوات وشقيقه دعيس بعد ٤ شهور,0,,msa
2032,يوم الجمعة هو أحب الأيام للمصريين الأحرار يلتقون معا فى الشوارع بلا موعد ولا ترتيبات يهتفون للحرية وللشرعية ولخير مصر وسقوط الانقلاب,0,,msa
2033, أَلَمٌ أَلَمَّ أَلَمْ أُلِمَّ بِدَائِهِ ...... إِنْ آنَ آنٌ آنَ آنُ أَوَانِهِ كوت ريتويت بمعني بيت الشعر دة للمتنبي بدون ما تبحث في جوجل ,0,,msa
2034,انا مش عايز اخش في مناقشات وافندالهجوم و اثبت منطقي في المقال اذا فيه حوار اتفتح، فده بالنسبة لي شئ رائعمش عايز اكتر من كده,0,,egypt
2035,  حماس تختطف أبا ذر  المقدسي من شارع النصر غرب مدينة غزة صباح اليوم المقدسي من قادة التيار الجهادي في بيت المقدس وهو مطلوب  لإسرائيل ,0,,msa
2036, قال رسول الله صلى الله عليه وسلم :«الصلوات الخمس، والجمعة إلى الجمعة، ورمضان إلى رمضان، مكفرات ما بينهم إذا اجتنبت الكبائر»  نشر سيرته  ﷺ ,0,,msa
2037,بغض النظر عن نتيجة الاستفتاء سيظل هذا الدستور غير شرعي لانه خرج من لجنة تأسيسية باطلة تم تحصينها بإعلان دستوري باطل سوف يسقط دستور المرشد,0,,msa
2038,انت بتحور يا مغير، انا و انت متفقين على خطأ استعمال دور العبادة سيبك من دي و جاوبني،فين التحريض على الحرق و العنف,0,,egypt
2039,الشوكولاته والقهوه ، فيروز وحليم ، الشتا والليل ، وانت  حاجات بتفرح,0,,egypt
2040,  ريف حماة  الجيش السوري يستهدف بالرشاشات الثقيلة تحركات الأرهابيين في قرية حربنفسة جنوب  حماة مما أسفر عن مقتل وإصابة عدد منهم. ,0,,msa
2041,من قام ليلة القدر إيماناً واحتساباً غُفر له ما تقدم من ذنبه قف بين يدى الرحمن وأطل الوقوف وقل يا رب أتيتك بذنوب كثيرة و أنت العفو الكريم,0,,msa
2042, هي دي  الحياةالطموحالعزيمةالاصرارالتحديواخيرا .... الحلم حمااااااااس جديد - يشعر بـالحماسة ,0,,egypt
2043,  حبيبان نحن الى ان ينام القمر !    جوهرة  محمود درويش  ,0,,msa
2044,د عبد المنعم أبو الفتوح : (الخلافة المنشودة) هي العدل والمساواة والحرية ومكافحة الفساد السياسي والاجتماعي وهي,0,,msa
2045, تزامن الزحوفات على  ميدي  البقع  تعز  صرواح من الساعة الأولى التي حددها  كيري لإيقاف الحرب دليل على أنها مكيدة  امريكية ولكن سلاحنا صاحي ,0,,msa
2046,البطل لا يُهزَم عندما يخسر، بل يُهزَم عندما ييأس ويُغادر لا تترك حلمك,0,,msa
2047,في جنة الخلد يا بطل العبور، في جنة الخلد يا شاذلي في قلوبنا ستبقى    25,0,,msa
2048,اسمعو هالاغنيه روعه  غلطت م الأول رنا سماحه  9     اللي أهم من شكلك,0,,levant
2049,  موسكو: اللقاء الثلاثي حول  سوريا سيضم وزراء الدفاع إضافةً إلى وزراء خارجية  تركيا و  روسيا و  إيران  لافروف  شويغو  ظريف  جاويش أوغلو ,0,,msa
2050,  السعوديه تقنت لحلب «فورين بوليسي»: روسيا تتدخَّل في انتخابات أكبر دول الغرب.. ألمانيا في الطريق بعد أمريكا ,0,,msa
2051,الضبطية القضائية فى الجامعة مشينة لسمعة جامعات مصر ومهينة لطلابها ونقيصة فى وجه المجتمع الجامعة علم وحرية وحركة أجيال,0,,egypt
2052, مندوبة  واشنطن: خلال يومين تم قصف مستشفيين، والان كل المستشفيات لا تعمل في  حلب بسبب هجمات النظام السوري و  روسيا  عاجل  أخبار  سوريا ,0,,msa
